NO,DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,DS10,DS11,DS12,FOMO1,FOMO2,FOMO3,FOMO4,FOMO5,FOMO6,FOMO7,FOMO8,FOMO9,FOMO10,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,Kelompok
110,2,2,4,2,1,3,1,1,2,3,4,1,4,4,2,1,1,3,2,1,2,1,3,4,2,2,2,2,1,1,1,4,3,1,3,1,1,4,1,1,3,4,5,3,2,1,Tidak
111,2,3,2,3,2,4,2,2,3,3,4,2,2,3,2,2,3,3,4,2,3,2,3,3,4,3,3,3,4,2,3,2,2,3,4,3,3,4,3,3,3,2,3,4,3,4,Tidak
112,2,2,2,2,2,2,2,2,4,3,4,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,2,4,Ya
113,2,2,1,1,1,3,1,1,1,1,4,2,1,5,2,1,3,1,1,1,1,1,5,5,4,4,5,3,5,2,1,2,2,2,2,1,1,3,1,2,2,5,3,4,1,1,Tidak
114,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Tidak
115,3,3,2,4,1,3,1,3,4,2,5,2,2,3,4,2,2,2,2,2,2,2,3,4,4,4,4,2,4,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,4,2,Tidak
116,1,1,1,5,1,3,1,1,5,1,5,1,1,1,5,1,1,1,1,1,1,1,5,2,5,3,5,3,5,1,2,2,1,2,4,3,1,1,1,5,1,1,1,1,1,1,Ya
117,5,4,4,3,3,4,4,3,1,3,3,4,4,4,2,1,1,1,2,1,1,1,3,5,3,3,2,3,4,4,3,2,1,1,5,5,4,5,5,5,3,5,4,3,2,3,Ya
118,1,1,1,2,1,3,1,2,5,2,3,3,3,4,4,3,1,3,2,3,3,1,4,4,3,3,2,5,5,3,2,2,2,2,4,3,3,4,4,4,4,5,4,2,3,2,Tidak
119,2,3,2,3,2,3,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,4,2,4,3,3,2,2,4,2,2,2,Tidak
120,2,2,2,1,1,3,1,3,1,1,3,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,5,3,3,2,2,2,2,2,5,5,4,5,5,5,2,2,2,2,2,2,Tidak
121,1,3,1,3,1,4,1,3,4,3,4,3,4,4,3,2,2,4,4,2,4,2,4,4,4,2,5,4,3,2,4,3,2,5,4,4,4,4,4,4,4,2,4,4,4,2,Tidak
122,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,Tidak
123,2,2,2,2,2,2,2,2,4,2,5,2,2,2,2,2,4,2,4,4,2,2,4,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,4,2,2,Tidak
124,1,2,2,3,1,1,2,1,2,3,4,3,2,3,3,3,2,3,2,2,2,2,4,3,3,4,3,2,3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,4,3,3,Tidak
125,1,3,1,1,1,3,2,1,5,2,5,2,2,2,4,2,1,1,1,2,1,1,4,3,4,4,2,3,2,2,2,2,2,3,3,4,2,4,3,3,3,2,2,2,2,3,Ya
126,5,3,4,4,4,5,1,2,4,2,4,2,4,2,2,2,3,4,4,3,4,4,2,2,4,1,1,1,3,1,2,1,1,1,2,3,3,2,2,2,4,3,4,1,3,4,Ya
127,4,4,3,3,2,3,2,4,3,4,4,2,4,4,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,3,5,5,5,4,4,4,3,4,3,4,4,3,3,4,2,2,Ya
128,4,4,2,2,2,2,2,1,4,2,4,2,2,3,4,3,2,2,2,2,2,2,4,2,2,4,4,2,2,2,3,2,1,3,2,2,2,2,2,2,3,2,2,4,2,2,Ya
